,pais_origem,pais_visitado,dist_origem,dist_paisvist,k6_returner,k6_explorer,k6_root_cat,k6_sub_cat,k10_returner,k10_explorer,k10_root_cat,k10_sub_cat,all_sub_cat,all_root_cat
2845510_FROM_MX_IN_US,MX,US,2.3027699229,1.7018498179,0,1,"Travel & Transport,Professional & Other Places,Travel & Transport,Professional & Other Places,Food,Outdoors & Recreation","Border Crossing,Embassy / Consulate,Border Crossing,Hospital,Mexican Restaurant,Other Great Outdoors",1,0,"Travel & Transport,Professional & Other Places,Travel & Transport,Professional & Other Places,Food,Outdoors & Recreation,Professional & Other Places,Residence,Travel & Transport,Shop & Service","Border Crossing,Embassy / Consulate,Border Crossing,Hospital,Mexican Restaurant,Other Great Outdoors,Medical Center,Home (private),General Travel,Convenience Store","Border Crossing,Embassy / Consulate,Hospital,Mexican Restaurant,Other Great Outdoors,Medical Center,Home (private),General Travel,Convenience Store","Travel & Transport,Professional & Other Places,Food,Outdoors & Recreation,Residence,Shop & Service"
1240212_FROM_US_IN_JP,US,JP,1.8001637828,1.3853796466,1,0,"Travel & Transport,Professional & Other Places,Travel & Transport,Travel & Transport,Food,Food","Airport,High School,Airport,Airport,Burger Joint,Juice Bar",1,0,"Travel & Transport,Professional & Other Places,Travel & Transport,Travel & Transport,Food,Food,Outdoors & Recreation,Outdoors & Recreation,Professional & Other Places,Travel & Transport","Airport,High School,Airport,Airport,Burger Joint,Juice Bar,Park,Beach,Elementary School,Airport Gate","Airport,High School,Burger Joint,Juice Bar,Park,Beach,Elementary School,Airport Gate,Hostel,Gastropub,Performing Arts Venue,Hotel,Plane,Tourist Information Center,Plaza,Seafood Restaurant,Go Kart Track,Convention Center,Gym,Steakhouse,BBQ Joint,Movie Theater,Asian Restaurant,Planetarium,University,Art Museum,Ramen / Noodle House,Convention","Travel & Transport,Professional & Other Places,Food,Outdoors & Recreation,Arts & Entertainment,College & University,Event"
2562978_FROM_US_IN_BR,US,BR,1.8404047108,2.6027240926,1,0,"Travel & Transport,Travel & Transport,Residence,Professional & Other Places,Professional & Other Places,Outdoors & Recreation","Airport,Airport,Home (private),Nursery School,Elementary School,Neighborhood",1,0,"Travel & Transport,Travel & Transport,Residence,Professional & Other Places,Professional & Other Places,Outdoors & Recreation,Residence,Professional & Other Places,Travel & Transport,Shop & Service","Airport,Airport,Home (private),Nursery School,Elementary School,Neighborhood,Home (private),Church,General Travel,Salon / Barbershop","Airport,Home (private),Nursery School,Elementary School,Neighborhood,Church,General Travel,Salon / Barbershop,Drugstore / Pharmacy,Plane,Subway,Asian Restaurant,Airport Terminal,Building,Doctor's Office,City,Park,Housing Development,Office,Mental Health Office,Coworking Space,Government Building,Bakery,Grocery Store,College Gym,Convenience Store,Bridge,Plaza,Department Store,Hardware Store,Breakfast Spot,Credit Union,Festival","Travel & Transport,Residence,Professional & Other Places,Outdoors & Recreation,Shop & Service,Food,College & University,Event"
4827958_FROM_MX_IN_US,MX,US,2.0147855574,1.6677886194,1,0,"Travel & Transport,Professional & Other Places,Travel & Transport,Travel & Transport,Professional & Other Places,Travel & Transport","Hotel,Building,Airport Terminal,Hotel,Office,Airport",1,0,"Travel & Transport,Professional & Other Places,Travel & Transport,Travel & Transport,Professional & Other Places,Travel & Transport,Residence,Travel & Transport,Travel & Transport,Travel & Transport","Hotel,Building,Airport Terminal,Hotel,Office,Airport,Home (private),Road,Bus Line,Airport","Hotel,Building,Airport Terminal,Office,Airport,Home (private),Road,Bus Line,Bus Station,Bed & Breakfast,Factory,Supermarket,Lounge,Mall,Scenic Lookout,Bank,Coffee Shop,Taco Place,Convenience Store,Salad Place,Mexican Restaurant,Automotive Shop,Coworking Space,General Travel,Department Store,Grocery Store,Tourist Information Center,Food Truck,Japanese Restaurant,American Restaurant,Chinese Restaurant,Seafood Restaurant,Light Rail,Town,Pizza Place,Diner,Airport Lounge,Restaurant,City,Burrito Place,Airport Gate","Travel & Transport,Professional & Other Places,Residence,Shop & Service,Nightlife Spot,Outdoors & Recreation,Food"
5515993_FROM_MY_IN_ID,MY,ID,1.556901293,2.1457229435,1,0,"College & University,College & University,Shop & Service,Food,Travel & Transport,Shop & Service","University,College & University,Mall,Malaysian Restaurant,Airport Terminal,Mall",1,0,"College & University,College & University,Shop & Service,Food,Travel & Transport,Shop & Service,Food,Residence,Food,Shop & Service","University,College & University,Mall,Malaysian Restaurant,Airport Terminal,Mall,Indian Restaurant,Housing Development,Asian Restaurant,Boutique","University,College & University,Mall,Malaysian Restaurant,Airport Terminal,Indian Restaurant,Housing Development,Asian Restaurant,Boutique,City Hall,Home (private),Residential Building (Apartment / Condo),Rest Area,Beach,Restaurant,Fast Food Restaurant,Airport Food Court,Mosque,Resort,Indonesian Restaurant,Flea Market","College & University,Shop & Service,Food,Travel & Transport,Residence,Professional & Other Places,Outdoors & Recreation"
1356197_FROM_MX_IN_US,MX,US,2.3522803492,1.7934123082,1,0,"Travel & Transport,Travel & Transport,Nightlife Spot,Shop & Service,Nightlife Spot,Shop & Service","Airport Terminal,Airport,Nightclub,Department Store,Hookah Bar,Mall",1,0,"Travel & Transport,Travel & Transport,Nightlife Spot,Shop & Service,Nightlife Spot,Shop & Service,Professional & Other Places,Food,Nightlife Spot,Food","Airport Terminal,Airport,Nightclub,Department Store,Hookah Bar,Mall,Office,Seafood Restaurant,Whisky Bar,Seafood Restaurant","Airport Terminal,Airport,Nightclub,Department Store,Hookah Bar,Mall,Office,Seafood Restaurant,Whisky Bar,Mexican Restaurant,Restaurant,Burger Joint,Housing Development,Italian Restaurant,Speakeasy,Hospital,Argentinian Restaurant,Steakhouse,Multiplex,Wings Joint","Travel & Transport,Nightlife Spot,Shop & Service,Professional & Other Places,Food,Residence,Arts & Entertainment"
8454448_FROM_US_IN_MX,US,MX,2.0351148734,2.0653158012,1,0,"Travel & Transport,Travel & Transport,Travel & Transport,Travel & Transport,Outdoors & Recreation,Travel & Transport","Airport,Hotel,Airport,Airport,Beach,Hotel",1,0,"Travel & Transport,Travel & Transport,Travel & Transport,Travel & Transport,Outdoors & Recreation,Travel & Transport,Food,Travel & Transport,Professional & Other Places,Food","Airport,Hotel,Airport,Airport,Beach,Hotel,Indian Restaurant,Hotel,Office,French Restaurant","Airport,Hotel,Beach,Indian Restaurant,Office,French Restaurant,Burger Joint,Airport Lounge","Travel & Transport,Outdoors & Recreation,Food,Professional & Other Places"
42110319_FROM_GB_IN_TR,GB,TR,2.2496849802,1.9277041118,1,0,"Shop & Service,Professional & Other Places,Food,Shop & Service,Professional & Other Places,Nightlife Spot","Clothing Store,Office,Gastropub,Car Dealership,Hospital,Bar",1,0,"Shop & Service,Professional & Other Places,Food,Shop & Service,Professional & Other Places,Nightlife Spot,Professional & Other Places,Food,Arts & Entertainment,Food","Clothing Store,Office,Gastropub,Car Dealership,Hospital,Bar,Office,Turkish Restaurant,Soccer Stadium,Fast Food Restaurant","Clothing Store,Office,Gastropub,Car Dealership,Hospital,Bar,Turkish Restaurant,Soccer Stadium,Fast Food Restaurant,Bowling Alley","Shop & Service,Professional & Other Places,Food,Nightlife Spot,Arts & Entertainment"
491777_FROM_US_IN_TR,US,TR,1.6689476634,3.1674426219,1,0,"Travel & Transport,Professional & Other Places,Travel & Transport,Travel & Transport,Food,Nightlife Spot","Airport,Building,Airport,Rental Car Location,Fried Chicken Joint,Pub",1,0,"Travel & Transport,Professional & Other Places,Travel & Transport,Travel & Transport,Food,Nightlife Spot,Travel & Transport,Travel & Transport,Food,Travel & Transport","Airport,Building,Airport,Rental Car Location,Fried Chicken Joint,Pub,Airport,Airport,Korean Restaurant,Hotel","Airport,Building,Rental Car Location,Fried Chicken Joint,Pub,Korean Restaurant,Hotel,Cocktail Bar,Office,Salon / Barbershop,Airport Lounge,Travel Lounge,Juice Bar,Electronics Store,Emergency Room,Wine Bar,Breakfast Spot,Chinese Restaurant,Seafood Restaurant,Bakery,Men's Store,Brazilian Restaurant,Lounge,German Restaurant,Bar,Whisky Bar,Sake Bar,Karaoke Bar,Peruvian Restaurant,American Restaurant,Sushi Restaurant,Bus Station,Clothing Store,Japanese Restaurant,Movie Theater,Sports Bar,Train Station,Ramen / Noodle House,Pizza Place,Beer Garden,Italian Restaurant,Steakhouse,Department Store,Shoe Store,BBQ Joint","Travel & Transport,Professional & Other Places,Food,Nightlife Spot,Shop & Service,Arts & Entertainment"
50825834_FROM_BR_IN_US,BR,US,1.9135258252,2.1347993775,0,1,"Food,Shop & Service,Residence,College & University,Arts & Entertainment,Professional & Other Places","BBQ Joint,Department Store,Home (private),College Library,Music Venue,School",1,0,"Food,Shop & Service,Residence,College & University,Arts & Entertainment,Professional & Other Places,Professional & Other Places,Shop & Service,Shop & Service,Shop & Service","BBQ Joint,Department Store,Home (private),College Library,Music Venue,School,Event Space,Hardware Store,Drugstore / Pharmacy,Boutique","BBQ Joint,Department Store,Home (private),College Library,Music Venue,School,Event Space,Hardware Store,Drugstore / Pharmacy,Boutique,Military Base,Church,Salon / Barbershop,Bus Line,Dentist's Office,Bus Station,Cosmetics Shop,Government Building,Hospital,Cocktail Bar,Bakery,Medical Center,Office,Bank,Pet Store,Building,Miscellaneous Shop,Assisted Living,Restaurant,Men's Store,Wine Bar,Diner,Housing Development,General College & University,Laboratory,Skate Park,Road,Gas Station / Garage,Grocery Store,General Entertainment,College Gym,Bus Stop,College Classroom,City,Italian Restaurant,High School,Temple,Fair,Emergency Room,Neighborhood,Auto Garage,Steakhouse,Big Box Store,Mall,Beach,Residential Building (Apartment / Condo),College Academic Building,Electronics Store,Hot Dog Joint,University,Ice Cream Shop,General Travel,Convenience Store,Chocolate Shop,Farmers Market,Automotive Shop,Car Dealership,Butcher,Mental Health Office,Asian Restaurant,Photography Lab,Spa,Tourist Information Center,College Lab,Burger Joint,Tech Startup,Middle School,Shoe Store,Bar,Other Nightlife,Supermarket,Mobile Phone Shop,Plaza,Subway,Convention Center,Snack Place,Movie Theater,Gift Shop,Record Shop,Art Museum,Café,Sporting Goods Shop,Sandwich Place,Pizza Place,Brazilian Restaurant,Hookah Bar,Vegetarian / Vegan Restaurant,Tree,Doctor's Office,Creperie,Food & Drink Shop,Trade School,Juice Bar,Park,Sushi Restaurant,Fast Food Restaurant,Zoo,Market,Breakfast Spot,Sports Bar,Theater,Deli / Bodega,Historic Site,Japanese Restaurant,Lake,Hotel,Pier,Buffet,Community Center,Arepa Restaurant,Scenic Lookout,Churrascaria,Cultural Center,Betting Shop,Street Art,Karaoke Bar,Tapas Restaurant,Multiplex,Courthouse,College Auditorium,Airport Gate,Chinese Restaurant,Parking,Gaming Cafe,Gastropub,Seafood Restaurant,College Cafeteria,Lighthouse,Airport,Club House,Gym,College Administrative Building,Bridge,Brewery,Coworking Space,Science Museum,Field,Pool Hall,Molecular Gastronomy Restaurant,Acai House,Student Center,Middle Eastern Restaurant,College Technology Building,Food Truck,Driving School,Nail Salon,Factory,Hobby Shop,Performing Arts Venue,Dive Bar,Gourmet Shop,Storage Facility,Candy Store,Bed & Breakfast,Police Station,Clothing Store,Lingerie Store,TV Station,Fried Chicken Joint,Taco Place,Moving Target,Meeting Room,Campaign Office,Professional & Other Places,Rest Area,Climbing Gym,Platform,Furniture / Home Store,College & University","Food,Shop & Service,Residence,College & University,Arts & Entertainment,Professional & Other Places,Travel & Transport,Nightlife Spot,Outdoors & Recreation"
62466522_FROM_US_IN_BR,US,BR,2.3499075741,2.6293601559,1,0,"Food,Food,Food,Outdoors & Recreation,Professional & Other Places,Professional & Other Places","Diner,Deli / Bodega,Ice Cream Shop,Beach,Elementary School,Fire Station",1,0,"Food,Food,Food,Outdoors & Recreation,Professional & Other Places,Professional & Other Places,Nightlife Spot,Food,Arts & Entertainment,Shop & Service","Diner,Deli / Bodega,Ice Cream Shop,Beach,Elementary School,Fire Station,Speakeasy,Food,Art Gallery,Grocery Store","Diner,Deli / Bodega,Ice Cream Shop,Beach,Elementary School,Fire Station,Speakeasy,Food,Art Gallery,Grocery Store,Hookah Bar,Housing Development,Pizza Place,Building,Pet Service,City","Food,Outdoors & Recreation,Professional & Other Places,Nightlife Spot,Arts & Entertainment,Shop & Service,Residence"
5858477_FROM_BR_IN_US,BR,US,2.4225217514,2.0666332682,1,0,"Outdoors & Recreation,Shop & Service,Travel & Transport,Travel & Transport,Travel & Transport,Professional & Other Places","Gym,Pet Store,Hotel,Airport,Rental Car Location,School",1,0,"Outdoors & Recreation,Shop & Service,Travel & Transport,Travel & Transport,Travel & Transport,Professional & Other Places,Professional & Other Places,Shop & Service,Travel & Transport,Food","Gym,Pet Store,Hotel,Airport,Rental Car Location,School,Language School,Laundry Service,Airport,Deli / Bodega","Gym,Pet Store,Hotel,Airport,Rental Car Location,School,Language School,Laundry Service,Deli / Bodega,Sporting Goods Shop,Seafood Restaurant,Multiplex,Restaurant,Café,Building,Plaza,Drugstore / Pharmacy,Monument / Landmark,Bar,Hardware Store,Cosmetics Shop,Japanese Restaurant,Farmers Market,Nightclub,Churrascaria,Theater","Outdoors & Recreation,Shop & Service,Travel & Transport,Professional & Other Places,Food,Arts & Entertainment,Nightlife Spot"
1450986_FROM_ID_IN_JP,ID,JP,1.5711652053,1.0402477408,0,1,"Residence,Residence,Shop & Service,Arts & Entertainment,Arts & Entertainment,Arts & Entertainment","Home (private),Home (private),Mall,Art Gallery,Art Gallery,Multiplex",0,1,"Residence,Residence,Shop & Service,Arts & Entertainment,Arts & Entertainment,Arts & Entertainment,Professional & Other Places,Residence,Food,Food","Home (private),Home (private),Mall,Art Gallery,Art Gallery,Multiplex,Community Center,Home (private),Dessert Shop,Chinese Restaurant","Home (private),Mall,Art Gallery,Multiplex,Community Center,Dessert Shop,Chinese Restaurant,Fast Food Restaurant,Airport,ATM,Snack Place,Diner,Office,Indonesian Restaurant,Bank,Market,Bakery,Spa,Coffee Shop,Middle Eastern Restaurant,Grocery Store,Supermarket,Airport Lounge,Optical Shop","Residence,Shop & Service,Arts & Entertainment,Professional & Other Places,Food,Travel & Transport"
77210024_FROM_MX_IN_US,MX,US,2.2410813274,2.5655987796,1,0,"Outdoors & Recreation,Residence,Residence,Residence,Residence,Nightlife Spot","Park,Home (private),Home (private),Housing Development,Home (private),Bar",1,0,"Outdoors & Recreation,Residence,Residence,Residence,Residence,Nightlife Spot,Shop & Service,Shop & Service,Food,Food","Park,Home (private),Home (private),Housing Development,Home (private),Bar,Drugstore / Pharmacy,Supermarket,Italian Restaurant,Italian Restaurant","Park,Home (private),Housing Development,Bar,Drugstore / Pharmacy,Supermarket,Italian Restaurant,Mexican Restaurant,Residential Building (Apartment / Condo),Convenience Store,Irish Pub","Outdoors & Recreation,Residence,Nightlife Spot,Shop & Service,Food"
28538463_FROM_US_IN_GB,US,GB,1.9519471577,1.9604449117,0,1,"Residence,Outdoors & Recreation,Outdoors & Recreation,Outdoors & Recreation,Arts & Entertainment,Outdoors & Recreation","Home (private),Gym,Track,Track,History Museum,Gym",0,1,"Residence,Outdoors & Recreation,Outdoors & Recreation,Outdoors & Recreation,Arts & Entertainment,Outdoors & Recreation,Professional & Other Places,Food,College & University,Outdoors & Recreation","Home (private),Gym,Track,Track,History Museum,Gym,Office,Pizza Place,College Gym,Gym","Home (private),Gym,Track,History Museum,Office,Pizza Place,College Gym,Athletics & Sports,Soccer Field,Field,Football Stadium,Airport,Mall,Church,Donut Shop,Gym / Fitness Center,Airport Terminal,American Restaurant,University,Brewery","Residence,Outdoors & Recreation,Arts & Entertainment,Professional & Other Places,Food,College & University,Travel & Transport,Shop & Service,Nightlife Spot"
15721078_FROM_MY_IN_ID,MY,ID,0.8906272034,1.6831790558,0,1,"Food,Food,Food,Residence,Food,Shop & Service","Malaysian Restaurant,Malaysian Restaurant,Indian Restaurant,Home (private),Indian Restaurant,Mall",1,0,"Food,Food,Food,Residence,Food,Shop & Service,Food,Food,Food,Travel & Transport","Malaysian Restaurant,Malaysian Restaurant,Indian Restaurant,Home (private),Indian Restaurant,Mall,Coffee Shop,Malaysian Restaurant,Malaysian Restaurant,Airport","Malaysian Restaurant,Indian Restaurant,Home (private),Mall,Coffee Shop,Airport,Café,Pool Hall,Fast Food Restaurant,Pub,Car Wash,Indonesian Restaurant,Asian Restaurant,Salon / Barbershop,Hookah Bar,Office,Airport Gate,Multiplex,Restaurant,Thai Restaurant,American Restaurant,Korean Restaurant,Department Store,Furniture / Home Store,Food Court,Hospital,Japanese Restaurant,University,Neighborhood,Fried Chicken Joint,Airport Tram,Government Building,Doctor's Office","Food,Residence,Shop & Service,Travel & Transport,Arts & Entertainment,Nightlife Spot,Professional & Other Places,College & University,Outdoors & Recreation"
10965018_FROM_TR_IN_GB,TR,GB,1.7433237364,2.406003468,1,0,"Outdoors & Recreation,Nightlife Spot,Outdoors & Recreation,Travel & Transport,Outdoors & Recreation,Travel & Transport","Neighborhood,Bar,Neighborhood,Airport Lounge,County,Hotel",1,0,"Outdoors & Recreation,Nightlife Spot,Outdoors & Recreation,Travel & Transport,Outdoors & Recreation,Travel & Transport,Travel & Transport,Food,Food,Shop & Service","Neighborhood,Bar,Neighborhood,Airport Lounge,County,Hotel,Airport Gate,Italian Restaurant,Bistro,Electronics Store","Neighborhood,Bar,Airport Lounge,County,Hotel,Airport Gate,Italian Restaurant,Bistro,Electronics Store","Outdoors & Recreation,Nightlife Spot,Travel & Transport,Food,Shop & Service"
10965018_FROM_TR_IN_US,TR,US,1.7433237364,2.1893688316,1,0,"Outdoors & Recreation,Nightlife Spot,Outdoors & Recreation,Travel & Transport,Outdoors & Recreation,Travel & Transport","Neighborhood,Bar,Neighborhood,Airport Lounge,County,Hotel",1,0,"Outdoors & Recreation,Nightlife Spot,Outdoors & Recreation,Travel & Transport,Outdoors & Recreation,Travel & Transport,Travel & Transport,Food,Food,Shop & Service","Neighborhood,Bar,Neighborhood,Airport Lounge,County,Hotel,Airport Gate,Italian Restaurant,Bistro,Electronics Store","Neighborhood,Bar,Airport Lounge,County,Hotel,Airport Gate,Italian Restaurant,Bistro,Electronics Store","Outdoors & Recreation,Nightlife Spot,Travel & Transport,Food,Shop & Service"
11953316_FROM_JP_IN_US,JP,US,0.3672528377,2.0869084509,1,0,"Travel & Transport,Travel & Transport,Travel & Transport,Travel & Transport,Travel & Transport,Shop & Service","Train Station,Train Station,Subway,Train Station,Train Station,Convenience Store",1,0,"Travel & Transport,Travel & Transport,Travel & Transport,Travel & Transport,Travel & Transport,Shop & Service,Shop & Service,Shop & Service,Shop & Service,Shop & Service","Train Station,Train Station,Subway,Train Station,Train Station,Convenience Store,Convenience Store,Convenience Store,Convenience Store,Farmers Market","Train Station,Subway,Convenience Store,Farmers Market,Drugstore / Pharmacy,Bank,Korean Restaurant,Gas Station / Garage,Other Nightlife,Miscellaneous Shop,Neighborhood,Karaoke Bar,General Entertainment,Video Store,Warehouse Store,Motorcycle Shop,Café,Salon / Barbershop,Furniture / Home Store,Movie Theater,Hobby Shop,Mall,Rest Area,Clothing Store,Toy / Game Store,Concert Hall,Sushi Restaurant,Grocery Store,Airport Terminal","Travel & Transport,Shop & Service,Food,Nightlife Spot,Outdoors & Recreation,Arts & Entertainment"
20517568_FROM_US_IN_BR,US,BR,2.6264653871,2.6614362209,1,0,"Travel & Transport,Outdoors & Recreation,Arts & Entertainment,Arts & Entertainment,Travel & Transport,Travel & Transport","Airport,Plaza,Casino,Casino,Airport,Airport",1,0,"Travel & Transport,Outdoors & Recreation,Arts & Entertainment,Arts & Entertainment,Travel & Transport,Travel & Transport,Nightlife Spot,Arts & Entertainment,Nightlife Spot,Event","Airport,Plaza,Casino,Casino,Airport,Airport,Nightclub,Concert Hall,Brewery,Conference","Airport,Plaza,Casino,Nightclub,Concert Hall,Brewery,Conference","Travel & Transport,Outdoors & Recreation,Arts & Entertainment,Nightlife Spot,Event"
502949_FROM_MX_IN_US,MX,US,2.0103122487,2.4492779019,1,0,"Professional & Other Places,Professional & Other Places,Shop & Service,Food,Food,Food","Tech Startup,Office,Bookstore,Coffee Shop,Pizza Place,Burger Joint",1,0,"Professional & Other Places,Professional & Other Places,Shop & Service,Food,Food,Food,Travel & Transport,Nightlife Spot,Food,Food","Tech Startup,Office,Bookstore,Coffee Shop,Pizza Place,Burger Joint,Airport,Brewery,Coffee Shop,Mexican Restaurant","Tech Startup,Office,Bookstore,Coffee Shop,Pizza Place,Burger Joint,Airport,Brewery,Mexican Restaurant,Multiplex,Coworking Space,Café,Japanese Restaurant,Government Building,Park,Taco Place,Wings Joint,Monument / Landmark,French Restaurant","Professional & Other Places,Shop & Service,Food,Travel & Transport,Nightlife Spot,Arts & Entertainment,Outdoors & Recreation"
23923179_FROM_BR_IN_US,BR,US,2.6822917107,2.6266463905,1,0,"College & University,Travel & Transport,Travel & Transport,Nightlife Spot,College & University,Shop & Service","University,Airport,Airport,Bar,College Communications Building,Salon / Barbershop",1,0,"College & University,Travel & Transport,Travel & Transport,Nightlife Spot,College & University,Shop & Service,College & University,College & University,Food,Residence","University,Airport,Airport,Bar,College Communications Building,Salon / Barbershop,College Academic Building,College Auditorium,Asian Restaurant,Home (private)","University,Airport,Bar,College Communications Building,Salon / Barbershop,College Academic Building,College Auditorium,Asian Restaurant,Home (private)","College & University,Travel & Transport,Nightlife Spot,Shop & Service,Food,Residence"
41729921_FROM_GB_IN_US,GB,US,1.6919370962,1.938581241,0,0,"Travel & Transport,Travel & Transport,Food,Travel & Transport,Food,Arts & Entertainment","Airport,Airport,Steakhouse,Airport,Restaurant,Multiplex",0,0,"Travel & Transport,Travel & Transport,Food,Travel & Transport,Food,Arts & Entertainment,College & University,Food,Food,College & University","Airport,Airport,Steakhouse,Airport,Restaurant,Multiplex,University,Restaurant,Restaurant,Fraternity House","Gym,Hotel,Airport Terminal,Theater,School","Outdoors & Recreation,Travel & Transport,Arts & Entertainment,Professional & Other Places"
87909424_FROM_BR_IN_US,BR,US,1.9441230513,1.5872785222,0,1,"Travel & Transport,Food,Professional & Other Places,Outdoors & Recreation,Professional & Other Places,Shop & Service","General Travel,Ice Cream Shop,City Hall,City,City Hall,Gas Station / Garage",0,1,"Travel & Transport,Food,Professional & Other Places,Outdoors & Recreation,Professional & Other Places,Shop & Service,Shop & Service,Shop & Service,Food,Food","General Travel,Ice Cream Shop,City Hall,City,City Hall,Gas Station / Garage,Mall,Automotive Shop,Asian Restaurant,Bakery","General Travel,Ice Cream Shop,City Hall,City,Gas Station / Garage,Mall,Automotive Shop,Asian Restaurant,Bakery,Pizza Place,Restaurant,Beer Garden,Government Building,Bank,Burger Joint,Grocery Store,Hospital,Tech Startup,Fast Food Restaurant,Boutique,Café,Arts & Crafts Store,Church,Warehouse,Home (private),Bus Station,Pier,Auto Garage,Soccer Stadium,Neighborhood,Snack Place,Bar,BBQ Joint,Big Box Store,Airport,Playground,University,Other Nightlife,Miscellaneous Shop,Wine Bar,Diner,Flower Shop,School,Middle Eastern Restaurant,Plaza,Farmers Market,Kids Store","Travel & Transport,Food,Professional & Other Places,Outdoors & Recreation,Shop & Service,Nightlife Spot,Residence,Arts & Entertainment,College & University"
10805546_FROM_MX_IN_US,MX,US,2.2523465542,2.0918789674,1,0,"Travel & Transport,Professional & Other Places,Arts & Entertainment,Nightlife Spot,Arts & Entertainment,Food","Airport,Radio Station,Soccer Stadium,Bar,Music Venue,Seafood Restaurant",1,0,"Travel & Transport,Professional & Other Places,Arts & Entertainment,Nightlife Spot,Arts & Entertainment,Food,Food,Professional & Other Places,Arts & Entertainment,Travel & Transport","Airport,Radio Station,Soccer Stadium,Bar,Music Venue,Seafood Restaurant,Argentinian Restaurant,Office,Rock Club,Airport Terminal","Airport,Radio Station,Soccer Stadium,Bar,Music Venue,Seafood Restaurant,Argentinian Restaurant,Office,Rock Club,Airport Terminal,Deli / Bodega","Travel & Transport,Professional & Other Places,Arts & Entertainment,Nightlife Spot,Food"
356296_FROM_US_IN_JP,US,JP,1.8986546537,0.8525922757,1,0,"Travel & Transport,Food,Travel & Transport,Nightlife Spot,Shop & Service,Food","Airport,Ramen / Noodle House,Airport,Bar,Salon / Barbershop,Mexican Restaurant",1,0,"Travel & Transport,Food,Travel & Transport,Nightlife Spot,Shop & Service,Food,Food,Food,Professional & Other Places,Food","Airport,Ramen / Noodle House,Airport,Bar,Salon / Barbershop,Mexican Restaurant,Mexican Restaurant,Middle Eastern Restaurant,Office,Ramen / Noodle House","Airport,Ramen / Noodle House,Bar,Salon / Barbershop,Mexican Restaurant,Middle Eastern Restaurant,Office,Food Truck,German Restaurant,Burger Joint,American Restaurant,College Stadium,Chinese Restaurant,Dive Bar,Bookstore,Japanese Restaurant,Liquor Store,Gym / Fitness Center,Miscellaneous Shop,Hotel,Movie Theater,Pizza Place","Travel & Transport,Food,Nightlife Spot,Shop & Service,Professional & Other Places,College & University,Outdoors & Recreation,Arts & Entertainment"
1906132_FROM_MY_IN_JP,MY,JP,1.8864000239,0.5304905521,1,0,"Outdoors & Recreation,Travel & Transport,Outdoors & Recreation,Outdoors & Recreation,Outdoors & Recreation,Food","Cemetery,Airport Terminal,Gym / Fitness Center,Gym / Fitness Center,Gym,Burger Joint",1,0,"Outdoors & Recreation,Travel & Transport,Outdoors & Recreation,Outdoors & Recreation,Outdoors & Recreation,Food,Travel & Transport,Food,Shop & Service,Professional & Other Places","Cemetery,Airport Terminal,Gym / Fitness Center,Gym / Fitness Center,Gym,Burger Joint,Bus Station,Sushi Restaurant,Food & Drink Shop,Building","Cemetery,Airport Terminal,Gym / Fitness Center,Gym,Burger Joint,Bus Station,Sushi Restaurant,Food & Drink Shop,Building,Halal Restaurant,Clothing Store,Fast Food Restaurant","Outdoors & Recreation,Travel & Transport,Food,Shop & Service,Professional & Other Places"
6140805_FROM_MX_IN_US,MX,US,1.9859912896,1.7531497111,1,0,"Professional & Other Places,Professional & Other Places,Shop & Service,Travel & Transport,Outdoors & Recreation,Food","Hospital,Coworking Space,Department Store,Airport,Park,Tapas Restaurant",1,0,"Professional & Other Places,Professional & Other Places,Shop & Service,Travel & Transport,Outdoors & Recreation,Food,Shop & Service,Food,Food,Food","Hospital,Coworking Space,Department Store,Airport,Park,Tapas Restaurant,Bank,Food Truck,Restaurant,Seafood Restaurant","Hospital,Coworking Space,Department Store,Airport,Park,Tapas Restaurant,Bank,Food Truck,Restaurant,Seafood Restaurant,Neighborhood,Dive Bar","Professional & Other Places,Shop & Service,Travel & Transport,Outdoors & Recreation,Food,Nightlife Spot"
13683302_FROM_BR_IN_US,BR,US,2.6768531562,1.7886841613,1,0,"Shop & Service,Shop & Service,Food,College & University,Food,Professional & Other Places","Mall,Mall,Café,General College & University,Chinese Restaurant,Doctor's Office",1,0,"Shop & Service,Shop & Service,Food,College & University,Food,Professional & Other Places,Food,Nightlife Spot,Food,Food","Mall,Mall,Café,General College & University,Chinese Restaurant,Doctor's Office,Mexican Restaurant,Cocktail Bar,Café,Brazilian Restaurant","Mall,Café,General College & University,Chinese Restaurant,Doctor's Office,Mexican Restaurant,Cocktail Bar,Brazilian Restaurant,College Academic Building,Burger Joint,Bar,Multiplex,Airport,Chocolate Shop,Concert Hall,Harbor / Marina,General Entertainment,Seafood Restaurant,Gift Shop,Piercing Parlor","Shop & Service,Food,College & University,Professional & Other Places,Nightlife Spot,Arts & Entertainment,Travel & Transport,Outdoors & Recreation"
